,um_id,userid,name,movieid
3329,1196452542,11964,光翟,52542
3330,1196651407,11966,C'est La Vie,51407
3331,1196654417,11966,C'est La Vie,54417
3332,1196652616,11966,C'est La Vie,52616
3333,1196652425,11966,C'est La Vie,52425
3334,1196650761,11966,C'est La Vie,50761
3335,1196853235,11968,虛靜,53235
3336,1196854418,11968,虛靜,54418
3337,1196853884,11968,虛靜,53884
3338,1196854006,11968,虛靜,54006
3339,1196950716,11969,光Hikari,50716
3340,1197050756,11970,我想变成一束光,50756
3341,1197152731,11971,Leemoo,52731
3342,1197252058,11972,虾仁跑蛋加芝士,52058
3343,1197252864,11972,虾仁跑蛋加芝士,52864
3344,1197354412,11973,PM945,54412
3345,1197354444,11973,PM945,54444
3346,1197350770,11973,PM945,50770
3347,1197550720,11975,Die Strene,50720
3348,1197553252,11975,Die Strene,53252
3349,1197551270,11975,Die Strene,51270
3350,1197552313,11975,Die Strene,52313
3351,1197752025,11977,就那溜溜的越人,52025
3352,1197751123,11977,就那溜溜的越人,51123
3353,1197753754,11977,就那溜溜的越人,53754
3354,1198350728,11983,包一一爱吃鱼,50728
3355,1198454173,11984,菜鸟小m,54173
3356,1198653212,11986,萤仔,53212
3357,1198652908,11986,萤仔,52908
3358,1198751838,11987,SMILEE,51838
3359,1199152708,11991,Lady Forever,52708
3360,1199151692,11991,Lady Forever,51692
3361,1199151082,11991,Lady Forever,51082
3362,1199154231,11991,Lady Forever,54231
3363,1199351359,11993,遇见我,51359
3364,1199351888,11993,遇见我,51888
3365,1199353134,11993,遇见我,53134
3366,1199452245,11994,诶,52245
3367,1199652070,11996,2582323,52070
3368,1199652651,11996,2582323,52651
3369,1199753143,11997,ryanikko,53143
3370,1199753727,11997,ryanikko,53727
3371,1199852054,11998,勋鹿345,52054
3372,1199952118,11999,Tamaru,52118
3373,1199952145,11999,Tamaru,52145
3374,1200052093,12000,PolarBearNaked,52093
3375,1200051636,12000,PolarBearNaked,51636
3376,1200053270,12000,PolarBearNaked,53270
3377,1200051649,12000,PolarBearNaked,51649
3378,1200052584,12000,PolarBearNaked,52584
3379,1200150732,12001,小魔女doremi,50732
3380,1200153067,12001,小魔女doremi,53067
3381,1200154226,12001,小魔女doremi,54226
3382,1200352903,12003,澄澄澄澄澄,52903
3383,1200350733,12003,澄澄澄澄澄,50733
3384,1200353919,12003,澄澄澄澄澄,53919
3385,1200354170,12003,澄澄澄澄澄,54170
3386,1200452321,12004,猫都是无知妇孺,52321
3387,1200552957,12005,太阳の棱角,52957
3388,1200751815,12007,快乐生活,51815
3389,1200752008,12007,快乐生活,52008
3390,1200852848,12008,彭于晏的lover,52848
