source,target,wight
12357,10527,4.3478260869565215
12357,10115,6.359630007488934
12357,10115,6.359630007488934
12357,11603,3.382550457458692
10542,11715,1.0
10542,10018,12.519577145903357
10542,11719,5.947010334500526
10542,10019,1.0
10542,12566,10.401019349846875
10542,11332,5.730682550612528
10542,12232,1.0
10542,10527,2.737928390966968
10542,13038,1.0
10542,12327,1.0
10542,11276,9.03712849693167
10542,10998,1.0
10542,11015,1.0
10542,10574,7.661204685080918
10542,11504,8.304547985373997
10542,10035,7.018624063435965
10542,12865,1.0
10542,10448,9.331541849264239
10542,10563,12.087736925743094
10542,13375,1.0
10542,12671,1.0
10542,10115,10.012021643290916
10542,10161,9.213068794097575
10542,11825,13.340746919301402
10542,10975,14.888750009563953
10542,10457,7.511746287542015
10542,13280,1.0
10542,12041,15.474611514754324
10542,11728,1.0
12228,10050,1.0
12228,10115,6.655583256397217
12228,11300,5.730682550612528
12228,10347,10.61988488107183
12228,13258,1.0
12228,11633,6.299407883487119
12228,10115,6.655583256397217
12973,10115,8.804509063256239
12973,11546,1.0
12973,10347,14.04878717372541
12973,13273,10.206207261596576
12973,10347,14.04878717372541
10270,10115,10.700007523445436
10270,10347,15.650535813672986
10270,10115,10.700007523445436
11466,10545,8.349657214468658
11466,10415,7.572824456627532
11466,10347,17.099639201419237
11466,10898,17.320508075688775
11517,10115,11.560886781772739
11517,10115,11.560886781772739
10644,10109,1.0
10644,10764,1.0
10644,11208,1.0
10644,11126,1.0
11338,12530,14.17366773784602
12141,11208,19.507682662870653
11880,10115,10.78327732034384
11880,10115,10.78327732034384
11880,11144,1.0
13034,10545,4.950737714883372
13034,10019,1.0
13034,12636,14.433756729740645
13034,13336,1.0
12473,10109,1.0
12473,10545,1.0
12473,11184,1.0
10402,10115,8.128201109529439
10402,10545,14.77701158222622
10402,12424,13.511600138438201
10402,11208,9.196009797434057
10402,10563,13.738701759630043
10402,11184,1.0
10402,10019,1.0
10402,11367,9.196009797434057
11076,13216,1.0
11076,10545,17.553439813886047
12987,10415,1.0
12987,13239,1.0
12987,10545,1.0
12987,11208,1.0
12987,10527,1.0
12987,11184,1.0
12987,10115,1.0
13087,10115,5.76390417704235
13087,10365,10.101525445522107
13087,12668,14.400460822119578
13087,10018,1.0
13087,10545,3.7424059428255987
13087,12581,1.0
13087,12530,13.36306209562122
13087,11208,16.302782918784448
13087,10527,3.940552031195503
13087,12327,1.0
11127,12865,1.0
11127,10115,1.0
12355,11184,1.0
11153,10115,4.4435911618126145
11153,10432,10.683599418231369
11153,12865,4.856429311786321
11153,10018,7.408677865766361
11153,10898,7.093269021319086
11153,13375,1.0
11153,13280,1.0
11153,12416,1.0
11153,10109,4.095300778893008
11153,12224,2.0036097492521527
13335,12486,1.0
10241,10545,1.0
10241,11208,1.0
11054,11715,1.0
11054,10115,5.180118867824779
11054,10018,10.795837927188263
11054,12530,1.0
11054,12493,1.0
11054,10115,5.180118867824779
10930,10545,16.169041669088866
12873,11715,1.0
12873,10415,1.0
12873,10018,1.0
12873,10109,1.0
12873,10898,1.0
12873,10019,1.0
11250,12808,13.975424859373685
11250,10294,13.836751649232259
11250,10115,13.261677609686334
11250,12687,9.731236802019037
11250,10905,15.2542553961938
11250,10018,10.552897060221726
11250,10134,8.80830329272055
11250,10347,11.542256460957985
11250,10095,10.846522890932809
11250,10869,14.680505487867586
11250,12865,11.858541225631422
11250,10545,17.221168004841612
11250,10130,29.348392204684735
11250,10019,1.0
11250,10527,11.539158284426271
11250,12566,14.090046549415863
11250,10141,17.787811838447134
11250,11990,11.504474832710555
11250,12055,19.598237397554634
11250,11276,3.6273812505500582
11250,11817,11.094003924504582
10166,10115,10.385232314160167
10055,10035,4.688072309384954
10055,10115,2.675001880861359
10055,10545,3.473667371459374
10055,10115,2.675001880861359
10055,11633,2.5318484177091665
12714,10115,6.225728063646903
12714,10115,6.225728063646903
12714,11308,6.052275326688025
12653,11208,1.0
12914,10115,1.0
12822,10545,7.669649888473705
12108,10884,8.408409924953904
12108,12231,13.860924831758192
12108,10115,10.46131561931883
12108,10035,9.166984970282114
12108,11728,1.0
12108,10134,4.776973164738615
12108,11128,12.73859510596964
12108,10347,6.955186050933215
12108,10526,10.294117647058822
12108,12412,1.0
12108,12700,1.0
12108,10527,8.939981748151894
12108,12493,1.0
12108,12055,4.905524551257964
12108,11834,11.146270717723434
12108,12861,8.57492925712544
11663,10545,1.0
11663,10527,1.0
11663,10115,1.0
10548,12524,16.55665446331305
10548,10109,2.4182541670333726
10548,10526,11.803342130469506
12373,10347,16.390251702679645
12115,10115,7.949537509361167
12115,10115,7.949537509361167
12775,13011,1.0
12775,11437,1.0
12775,10180,5.598925109558543
12775,10415,8.122955416108235
12775,10019,1.0
12775,10085,9.847319278346617
12815,10115,9.059765083337043
12815,10019,1.0
11833,10115,1.0
11833,13315,1.0
10226,10115,12.719260014977868
10226,11358,2.737928390966968
12138,10115,1.0
10821,11448,1.0
10496,10415,13.68593770038479
10496,13193,6.350006350009525
10496,10115,11.620402679752965
10496,10035,9.051256444028407
10496,10215,14.920659471182063
10496,12093,13.470397652008117
10496,12865,6.350006350009525
10496,10018,14.530784390894484
10496,10347,10.301070542879115
10496,10545,15.089863644835704
10496,10898,18.54955583040673
10496,10354,1.0
10496,13022,1.0
10496,11689,7.014785603174335
10496,12041,20.953951903123734
10496,10764,9.962709627734357
10496,12530,4.490132550669372
10496,10527,5.296271413323761
10496,13216,1.0
10496,13163,1.0
10496,10954,1.0
10016,10415,16.463819352454365
10016,10115,8.895749936068606
10016,12687,12.309149097933272
10016,10018,12.712834523274562
10016,10109,14.054567378526132
10016,10347,18.925832465255628
10016,13106,1.0
10016,10975,14.17366773784602
10016,10526,10.004084133313015
10016,10646,17.010345435994292
10016,10492,11.785113019775793
10016,10019,1.0
10016,13317,1.0
10016,12994,4.166666666666666
10016,11729,10.257624248277727
10016,11130,1.0
10016,11728,1.0
10627,10545,3.500700210070024
10627,10415,6.350006350009525
10680,10545,1.0
10680,12383,1.0
10680,10019,1.0
10680,10764,1.0
13372,10545,1.0
11685,10035,1.0
11685,11557,1.0
11685,10545,1.0
11685,10527,1.0
11685,11208,1.0
11685,12524,1.0
13030,10109,7.69800358919501
13030,10545,3.6155076303109364
13030,10115,2.7842302319485226
13030,11208,7.874992309581577
13030,10526,9.393364366277243
11098,10115,7.624928516630233
12708,10115,10.229915092057103
12708,11208,2.4112141108520606
12708,10527,4.662524041201569
12708,11184,1.0
12708,12493,1.0
12708,12524,16.13743060919757
12708,10115,10.229915092057103
11838,10019,1.0
11838,10415,19.957162814315648
11838,10545,14.002800840280097
11838,10115,9.242809131723293
11838,11208,15.249857033260467
12558,10545,1.0
12558,10415,1.0
12558,10347,1.0
12558,11118,1.0
12511,12327,1.0
11265,12145,10.657613907987187
11265,10359,13.789156793307649
11265,10347,14.974651178226578
11265,10115,12.797395739001836
12564,10415,1.0
12564,10545,1.0
12564,13315,1.0
12564,12319,1.0
11293,12055,7.55254912049361
11293,11557,18.382665829627502
11293,12066,14.598929061844595
11069,10448,1.0
11069,10115,1.0
11069,11208,1.0
11069,11583,1.0
11860,11208,1.0
10001,11208,10.573873360945338
12318,10770,8.889132764189396
12318,10415,9.240616554505463
12318,12055,3.2703497008386426
12318,10018,6.540699401677285
12318,12339,2.8583097523751473
12318,11020,13.45345587992625
12318,10884,8.408409924953904
12318,11384,17.700260809846075
12318,12687,10.555008273018727
12318,10545,8.490445135141556
12318,12294,4.736317334630044
12318,12321,1.0
12318,11990,10.398629135096288
12318,12578,1.0
12318,10604,1.0
12318,11290,6.909874910284776
12318,11176,9.550586404516817
12318,12865,1.0
12318,10347,6.955186050933215
12318,12520,6.431196942844081
12318,11689,3.157544889753363
12318,11493,5.547950410914818
12318,12912,5.423261445466404
12318,13375,1.0
12318,12601,1.0
12318,10115,7.845986714489123
12318,10787,6.792356108113244
12318,12416,1.0
12318,11028,2.694840278181477
12318,11396,1.0
12318,12530,3.031695312954162
10685,12808,1.0
11385,10415,18.75916198442167
11385,10115,14.60062651305222
11385,10035,6.2032280693231385
11385,11583,11.826247919781652
11385,10347,11.2956498944981
11385,10526,11.941628680530643
11385,11208,5.631382918337083
11385,11091,14.360673947588817
11385,10347,11.2956498944981
12821,10095,1.0
12821,10415,1.0
12821,12994,1.0
12821,10035,1.0
12821,10526,1.0
10894,11715,1.0
10894,10115,13.472519876849482
10894,10018,16.84677260570645
10894,11495,10.967253752026672
10894,12530,7.808688094430304
10894,10527,9.21062598117008
12076,10545,11.43323900950059
12076,12055,22.019275302527213
12076,11184,1.0
11728,11208,1.0
11661,10545,6.127555276542501
11661,10019,1.0
11661,10109,6.523280730534423
11661,10115,7.864513273256968
11661,12327,1.0
12359,11728,1.0
12359,12587,1.0
10096,10115,5.906244232186183
10096,10035,11.501092655705904
10096,10545,10.226199851298274
10096,11208,8.352690695845569
10096,12327,1.0
10096,10115,5.906244232186183
13280,13375,1.0
12285,10545,1.0
12285,10019,1.0
11470,11118,8.887182323625229
11470,12865,5.39163866017192
11470,13315,10.78327732034384
11470,11689,5.956086839320313
11470,11331,1.0
11470,10604,1.0
11470,12636,1.0
11528,10415,9.123958466923195
11528,10115,5.810201339876483
11528,10018,9.687189593929656
11528,11396,1.0
11528,10527,13.240678533309403
11528,10019,1.0
10583,10115,13.63988678940947
10583,10526,5.752237416355277
10583,13280,1.0
10583,11208,2.4112141108520606
10583,10109,11.785113019775793
10583,13375,1.0
12956,10115,1.0
12956,10545,1.0
12956,10347,1.0
12956,11689,1.0
12956,10019,1.0
12956,13375,1.0
12956,12524,1.0
10937,10545,20.44398826909146
10937,10403,12.464279971425848
10937,10109,14.509525002200233
10937,11208,17.316974359835267
11064,10574,9.399572616904152
11064,10115,12.634768180258032
11064,12865,4.602873089491617
11064,10018,12.2882684228515
11064,10347,10.45358459406623
11064,10019,1.0
11064,10563,10.16949152542373
11064,13280,4.602873089491617
11064,11546,1.0
11064,10527,5.758592311406532
11064,11276,4.223886030955117
11064,10115,12.634768180258032
11064,11728,1.0
10522,12424,1.0
10522,10347,1.0
10522,11208,1.0
10522,10019,1.0
10522,13375,1.0
10522,12524,1.0
11271,10415,18.790823039834773
11271,10527,7.271792483455794
11271,10115,10.636559227784126
11945,10347,13.977653617040255
11945,10347,13.977653617040255
10052,12530,3.6860489038724285
11608,10115,11.045257468383877
11608,11920,25.38307348149819
11608,10347,17.624204863381397
11608,10527,9.43900401863794
11608,10347,17.624204863381397
11608,11276,6.231097385958959
11500,10448,11.565903932254226
11500,13281,4.109974682633933
10377,10115,10.783277320343842
10377,10018,17.33656789191194
10377,10347,9.832102880166934
10377,11174,1.0
10377,10347,9.832102880166934
10377,12202,14.285714285714285
12287,10019,1.0
11892,11184,1.0
10739,11990,11.65103456070926
10739,10115,7.325794357582565
10739,10018,10.687334289668037
10739,10527,10.016708449412667
13056,12327,1.0
12619,10574,10.613237065158375
12619,12865,6.063390625908324
12619,10115,7.397267214553091
11217,10545,14.090046549415863
11217,10019,1.0
10797,10545,11.679143249475676
10797,10115,8.993875008265757
10797,11208,9.5394450112334
10797,10898,13.459547551454138
10492,10526,12.126781251816649
11769,12865,1.0
11769,11208,16.757831697804313
10840,12865,1.0
10840,10526,16.296743401013895
11152,11390,12.071432805669136
11152,10115,12.708214194383723
11152,12041,15.713484026367722
11152,11583,7.548513560963972
12533,10019,1.0
11263,10898,10.95445115010332
11263,10545,17.822655773580138
11370,10526,15.2828012432548
11370,10115,9.059765083337043
12094,10998,1.0
12094,12865,1.0
12094,10018,22.019275302527213
12094,11252,15.944820103582016
11219,11990,4.321358157014429
11219,10574,7.796811755854504
11219,10035,9.523809523809524
10633,10545,8.084520834544433
10633,10733,7.715167498104596
11770,10115,12.325298302457476
11770,10347,11.654330934961301
10288,10115,15.729026546513936
10288,12012,12.15541595815788
10120,10115,7.47685755693224
10120,12994,4.902903378454601
10120,10115,7.47685755693224
10106,10545,17.107143980890235
10106,10115,14.491256984229906
10106,10018,9.883994709867801
10106,12416,1.0
12963,10109,5.270462766947299
12036,11771,1.0
12036,10115,1.0
13315,11184,1.0
11056,10884,2.830692585361489
11056,10115,8.804509063256239
11056,11815,1.0
11056,12865,7.216878364870323
11056,10018,2.7524094128159016
11056,10347,4.68292905790847
11056,11308,12.838814775327387
11056,10415,10.369516947304252
11056,11091,6.804138174397717
11056,10527,3.00964632714423
11056,12994,1.0
11056,11276,1.0
10936,10115,14.264935053936393
10936,12424,9.678678369916545
10936,13216,1.0
10936,10018,17.837651700316894
10936,10869,17.370208344491278
10936,10545,18.523964340873707
10936,11208,11.5278083540847
12095,12365,12.379689211803457
12095,10115,10.376213439411504
12095,12543,1.0
10926,10115,12.425914651931862
10926,10526,12.421401880890738
10286,10415,1.0
10286,10018,1.0
10286,13140,1.0
10286,11808,1.0
10286,10019,1.0
10286,12055,1.0
10286,10109,1.0
10286,11847,1.0
10286,10545,1.0
10286,13162,1.0
10286,10527,1.0
10286,10347,1.0
10286,12327,1.0
10286,11276,1.0
10286,11771,1.0
10286,10035,1.0
10286,12121,1.0
10286,10898,1.0
10286,10526,1.0
10286,11689,1.0
10286,12524,1.0
10286,13375,1.0
10286,12530,1.0
10286,11293,1.0
10286,12041,1.0
10286,11728,1.0
10523,10115,4.7697225056167
10523,10115,4.7697225056167
11875,10545,16.06231415508089
11875,10563,17.920430732684967
11875,10019,1.0
13107,10365,1.0
11288,10019,1.0
10182,12129,1.0
11602,12524,19.867985355975655
13241,11208,1.0
12011,11184,1.0
12011,10526,1.0
12909,13011,1.0
12909,10019,1.0
12909,10115,9.246584018191365
12909,10347,15.737789507292673
12909,10115,9.246584018191365
10343,10999,13.643694863595455
10343,10115,10.918921360903967
10343,11719,14.412659875497999
10343,10347,19.358464984487526
10343,11990,5.788529495093048
10343,10526,19.101172809033635
10343,10527,9.953109657524402
10343,10019,1.0
10343,12076,13.779456365238762
10343,12327,1.0
10343,10115,10.918921360903967
13165,10109,1.0
13165,11208,1.0
13165,10526,1.0
10036,10079,4.588314677411235
10036,10115,8.626621856275072
10036,12376,6.030226891555271
10036,12416,1.0
10036,11583,1.0
10036,11719,9.60768922830523
10036,12327,1.0
10036,13375,1.0
11021,10115,11.206310514564425
11021,11728,1.0
10573,10115,5.052194953818556
10573,10035,11.805626722019106
10573,12416,1.0
10573,10545,8.747480336813908
10573,10527,9.21062598117008
10573,10019,1.0
10573,10115,5.052194953818556
11953,12327,1.0
11953,10115,1.0
11953,10545,1.0
11275,12611,1.0
11275,10574,10.994987428338561
11275,10115,9.196009797434057
11275,10018,17.248787237282066
11275,10527,6.286946134619314
11275,10019,1.0
11275,10347,14.673479641335554
11275,12524,8.703882797784892
11604,12327,1.0
11604,10035,10.383482633023302
11604,10347,15.75633729158136
11604,11730,17.806907476549842
